"geographicAreaM49","measuredItemParentCPC_tree","measuredItemChildCPC_tree","timePointYears","Value","flagObservationStatus","flagMethod","measuredElementSuaFbs"
"348","01212","21330.90","2007",0.0144951848738396,"I","c","5431"
"348","01212","21330.90","2008",0.0167541699571468,"I","c","5431"
"348","01212","21330.90","2009",0.0317423921769922,"I","c","5431"
"348","01212","21330.90","2010",0.0449950408355728,"I","c","5431"
"348","01212","21330.90","2011",0.0455758234952955,"I","c","5431"
"348","01212","21330.90","2012",0.0463536163800984,"I","c","5431"
"348","01212","21330.90","2013",0.0453462935905772,"I","c","5431"
"348","01212","21330.90","2014",0.0496957536368116,"I","c","5431"
"348","01212","21330.90","2015",0.051840142418834,"I","c","5431"
"348","01212","21330.90","2016",0.0480591846418414,"I","c","5431"
"348","01212","21330.90","2017",0.0543449065276659,"I","c","5431"
"348","01212","21330.90","2018",0.0514147445294471,"I","c","5431"
"348","01212","21330.90","2019",0.0512729452329848,"I","c","5431"
"348","01212","21340","2000",0.179293672458602,"I","c","5431"
"348","01212","21340","2001",0.282915996173053,"I","c","5431"
"348","01212","21340","2002",0.233972276326198,"I","c","5431"
"348","01212","21340","2003",0.246253994540941,"I","c","5431"
"348","01212","21340","2004",0.15140315390706,"I","c","5431"
"348","01212","21340","2005",0.14047984041017,"I","c","5431"
"348","01212","21340","2006",0.107691980274606,"I","c","5431"
"348","01212","21340","2007",0.106917197694093,"I","c","5431"
"348","01212","21340","2008",0.0994415335548665,"I","c","5431"
"348","01212","21340","2009",0.0982974893294556,"I","c","5431"
"348","01212","21340","2010",0.134599584034802,"I","c","5431"
"348","01212","21340","2011",0.133407701966156,"I","c","5431"
"348","01212","21340","2012",0.134376489697881,"I","c","5431"
"348","01212","21340","2013",0.135703498254807,"I","c","5431"
"348","01212","21340","2014",0.129496627274356,"I","c","5431"
"348","01212","21340","2015",0.136833528735069,"I","c","5431"
"348","01212","21340","2016",0.13887030012969,"I","c","5431"
"348","01212","21340","2017",0.134289821816521,"I","c","5431"
"348","01212","21340","2018",0.136664550227094,"I","c","5431"
"348","01212","21340","2019",0.136608224057768,"I","c","5431"
"348","01212","F0472","2000",0.800743757610522,"I","c","5431"
"348","01212","F0472","2001",0.658090606663961,"I","c","5431"
"348","01212","F0472","2002",0.74161983312103,"I","c","5431"
"348","01212","F0472","2003",0.726955656155676,"I","c","5431"
